zipCode,medianHouseholdIncome,latitude,longitude
48224,44856,42.410699,-82.941456
48225,61750,42.438887,-82.929679
48226,64860,42.331815,-83.050354
48227,36527,42.387362,-83.192562
48228,30680,42.355145,-83.218208
48229,40264,42.249592,-83.140439
48230,137310,42.382395,-82.921842
48234,35322,42.431184,-83.039509
48235,39265,42.427075,-83.19466
48236,128242,42.422583,-82.89285
48237,71510,42.464943,-83.18241
48238,33315,42.396277,-83.141316
48239,71151,42.376245,-83.286394
48240,60390,42.424483,-83.301271
48301,167143,42.5424,-83.282168
48302,178103,42.581851,-83.304703
48304,143204,42.58894,-83.233229
48306,163684,42.724326,-83.147312
48307,106576,42.659316,-83.122679
48309,121007,42.657213,-83.186577
48310,78058,42.566517,-83.066512
48312,68061,42.558228,-83.008926
48313,88065,42.599167,-82.997186
48314,85889,42.612074,-83.053489
48315,100684,42.671835,-82.997399
48316,107776,42.690184,-83.057237
48317,72917,42.644251,-83.051539
48320,78150,42.611935,-83.338092
48322,113865,42.537824,-83.384526
48323,144457,42.570804,-83.377909
48324,142100,42.594679,-83.393657
48326,85190,42.688246,-83.244075
48327,74788,42.6383,-83.410667
48328,72299,42.65016,-83.363182
48329,85709,42.687016,-83.388622
48331,127633,42.502486,-83.408936
48334,102228,42.504694,-83.349204
48335,99439,42.462863,-83.405029
48336,88938,42.463342,-83.348054
48340,47891,42.672141,-83.287938
48341,51390,42.626505,-83.291425
48342,35253,42.64441,-83.274561
48346,101477,42.717889,-83.428715
48348,129410,42.768579,-83.404438
48350,110042,42.739418,-83.531044
48353,105964,42.646151,-83.714412
48356,103872,42.654414,-83.592905
48357,94954,42.658574,-83.646557
48359,93125,42.720766,-83.275499
48360,140865,42.747358,-83.261
48362,115230,42.782351,-83.269423
48363,179375,42.772483,-83.162499
48367,110405,42.836232,-83.136902
48370,131111,42.840232,-83.191537
48371,111239,42.845874,-83.284608
48374,182827,42.473843,-83.519976
48375,112545,42.465798,-83.464035
48377,83104,42.505368,-83.473579
48380,131979,42.582994,-83.666836
48381,105213,42.558412,-83.591793
48382,137768,42.582368,-83.51143
48383,102072,42.65561,-83.525824
48386,89702,42.660183,-83.479969
48390,91381,42.550711,-83.474218
48393,65962,42.521838,-83.545088
48401,70536,43.347337,-82.661491
48410,55250,43.566289,-82.936223
48412,79534,43.070433,-83.175549
48413,58346,43.802747,-82.996755
48414,68214,42.861694,-84.079847
48415,79067,43.271876,-83.808105
48416,66474,43.217071,-82.984954
48417,72422,43.261282,-83.939194
48418,74547,42.794295,-83.969891
48419,59485,43.435806,-82.660428
48420,66063,43.179103,-83.700508
48421,71114,43.155496,-83.393189
48422,57899,43.261472,-82.653704
48423,65079,43.04042,-83.51428
48426,62169,43.508618,-83.065131
48427,56842,43.535638,-82.725482
48428,100033,42.938195,-83.154454
48429,67725,42.902799,-84.004049
48430,100193,42.757217,-83.738279
48432,63661,43.901679,-82.974888
48433,81513,43.08221,-83.861039
48434,40938,43.659867,-82.612562
48435,86905,43.245379,-83.359338
48436,94487,42.87611,-83.879438
48437,40864,43.113049,-83.618412
48438,106796,42.913657,-83.484165
48439,88490,42.91714,-83.631336
48440,153173,42.955721,-83.407839
48441,50765,43.797892,-82.70863
48442,86575,42.798926,-83.595677
48444,71436,43.058491,-83.045197
48445,51645,43.950222,-82.990556
48446,66062,43.05374,-83.338704
48449,69545,42.991452,-83.944772
48450,52962,43.252306,-82.540855
48451,99943,42.805959,-83.815991
48453,53676,43.348144,-83.032572
48454,62639,43.195011,-82.812721
48455,103835,42.939796,-83.29103
48456,62321,43.666971,-82.762208
48457,71090,43.190051,-83.894218
48458,46797,43.1253,-83.68155
48460,80000,43.123857,-83.984481
48461,78453,43.193661,-83.206162
48462,105699,42.848445,-83.42125
48463,72500,43.165799,-83.519301
48464,81417,43.210907,-83.419044
48465,73750,43.615727,-82.705626
48466,59241,43.280507,-82.808877
48467,53750,44.015356,-82.982415
48468,63000,43.938412,-82.775181
48469,56023,43.441469,-82.558181
48470,58594,43.73618,-82.76352
48471,62844,43.41942,-82.852081
48472,61000,43.512323,-82.963212
48473,77921,42.937062,-83.820454
48475,61719,43.670124,-82.933407
48476,70000,42.938318,-84.03453
48502,50000,43.014645,-83.689159
48503,44411,42.998726,-83.710153
48504,38719,43.054725,-83.743745
48505,33283,43.06916,-83.692301
48506,47929,43.067472,-83.624392
48507,46554,42.966974,-83.71736
48509,64160,43.029903,-83.60068
48519,64351,42.981908,-83.604939
48529,41333,42.970338,-83.65859
48532,61998,43.011068,-83.794875
48601,38900,43.394997,-83.88928
48602,46984,43.420026,-83.974472
48603,66352,43.458786,-84.029471
48604,53042,43.499764,-83.969084
48607,37973,43.432412,-83.933828
48609,78218,43.389617,-84.08317
48610,59091,44.141691,-84.192191
48611,87963,43.634148,-84.097206
48612,55761,43.883024,-84.439434
48613,58846,43.947886,-84.155644
48614,63393,43.250991,-84.298042
48615,70000,43.422237,-84.474354
48616,66819,43.191092,-84.113454
48617,58321,43.851308,-84.717297
48618,61968,43.736779,-84.556707
48619,46422,44.819736,-84.020613
48620,99231,43.807628,-84.380417
48621,51304,44.721241,-84.012674
48622,56804,43.835257,-84.891309
48623,101250,43.519318,-84.133945
48624,55130,44.061093,-84.45737
48625,43030,44.052142,-84.837442
48626,84360,43.421368,-84.221438
48628,93854,43.773578,-84.324041
48629,56520,44.312238,-84.784698
48630,62019,44.325497,-84.773269
